member;section;force;dcr_max;axial tension;tension (dcr);axial compression;compression (dcr);moment yy;moment zz;biaxial bending (dcr);shear y;shear z;shear y (dcr);shear z (dcr);bending and tension (dcr);bending and compression (dcr);compression perpendicular;compression perpendicular (dcr)
Column 1;3 x 3;21//2/3//11/(C);0.024978647415170845;0;0.0;179.89;0.024978647415170845;155.3676;36.188;0.009578944963188184;1.38;16.56;0.0002465417270372321;0.002958500724446785;0.009578944963188184;0.010202877789879605;16.56;1.2901597273836405
Column 1;3 x 3;21//2/3//12/(C);0.025407709733881602;0;0.0;182.98;0.025407709733881602;22.1892;103.3766;0.006279053640085148;17.19;0.69;0.0030710523824420436;0.00012327086351861605;0.006279053640085148;0.00692460535400633;0.69;0.05375665530765168
Column 1;3 x 3;21//2/3//13/(C);0.0228166732072982;0;0.0;164.32;0.0228166732072982;157.501;32.7103;0.009511721787702767;1.25;16.49;0.00022331678173662328;0.002945994984669534;0.009511721787702767;0.010032322363951407;16.49;1.2847061536567772
Column 1;3 x 3;21//2/3//14/(C);0.023245735526008955;0;0.0;167.41;0.023245735526008955;20.0557;106.8543;0.006346271814962404;17.06;0.62;0.003047827437141434;0.00011076512374136514;0.006346271814962404;0.006886636035107558;0.62;0.04830308158078847
Column 1;3 x 3;21//100//11/(C);0.09584005439229638;0;0.0;176.21;0.024467660576059008;1698.7293;205.8668;0.09524138797823115;1.38;16.56;0.0002465417270372321;0.002958500724446785;0.09524138797823115;0.09584005439229638;16.56;1.2901597273836405
Column 1;3 x 3;21//100//12/(C);0.08751921525718456;0;0.0;179.3;0.024896722894769765;106.9036;1630.8724;0.08689936844628561;17.19;0.69;0.0030710523824420436;0.00012327086351861605;0.08689936844628561;0.08751921525718456;0.69;0.05375665530765168
Column 1;3 x 3;21//100//13/(C);0.09526738445345137;0;0.0;160.99;0.022354285659949718;1709.0034;186.1195;0.09476767036608473;1.25;16.49;0.00022331678173662328;0.002945994984669534;0.09476767036608473;0.09526738445345137;16.49;1.2847061536567772
Column 1;3 x 3;21//100//14/(C);0.08789216700354875;0;0.0;164.08;0.022783347978660475;96.6295;1650.6197;0.08737308605843203;17.06;0.62;0.003047827437141434;0.00011076512374136514;0.08737308605843203;0.08789216700354875;0.62;0.04830308158078847
Column 1;3 x 3;36//100//11/(C);0.09578464126552745;0;0.0;166.48;0.023116600265037757;1698.9064;205.8672;0.0952502640577139;4.58;22.74;0.0008182326882829877;0.00406257889335265;0.0952502640577139;0.09578464126552745;22.74;1.7716323792695643
Column 1;3 x 3;36//100//12/(C);0.08754580690285506;0;0.0;182.11;0.025286905780069837;106.904;1631.0122;0.08690637929892493;48.94;13.22;0.008743298638552274;0.0023617982836465277;0.08690637929892493;0.08754580690285506;13.22;1.0299463524161672
